date,title,link
2020-10-13,American Express to Host Ninth Annual “Business Class LIVE: Summit for Success” for Small Businesses,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-to-Host-Ninth-Annual-Business-Class-LIVE-Summit-for-Success-for-Small-Businesses/default.aspx
2020-09-29,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Declares-Regular-Quarterly-Dividend/default.aspx
2020-09-22,American Express Plans Live Audio Webcast Of Third-Quarter 2020 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Plans-Live-Audio-Webcast-Of-Third-Quarter-2020-Earnings-Conference-Call/default.aspx
2020-09-10,"American Express Names Colleen Taylor, President, Merchant Services – U.S.",/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Names-Colleen-Taylor-President-Merchant-Services--U.S/default.aspx
2020-08-26,American Express Executives to Participate in Upcoming Investor Conferences,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Executives-to-Participate-in-Upcoming-Investor-Conferences/default.aspx
2020-08-17,American Express to Acquire Kabbage,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-to-Acquire-Kabbage/default.aspx
2020-07-24,American Express Reports Second-Quarter Revenue of $7.7 Billion and Earnings Per Share of $0.29,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Reports-Second-Quarter-Revenue-of-7.7-Billion-and-Earnings-Per-Share-of-0.29/default.aspx
2020-06-22,American Express Plans Live Audio Webcast of the Second Quarter 2020 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Plans-Live-Audio-Webcast-of-the-Second-Quarter-2020-Earnings-Conference-Call/default.aspx
2020-06-18,American Express Names New Executive Committee Members,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Names-New-Executive-Committee-Members/default.aspx
2020-04-14,American Express Declares Dividend on Series B and Series C Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Declares-Dividend-on-Series-B-and-Series-C-Preferred-Stock/default.aspx
2020-03-23,American Express Plans Live Audio Webcast of the First Quarter 2020 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Plans-Live-Audio-Webcast-of-the-First-Quarter-2020-Earnings-Conference-Call/default.aspx
2020-03-11,American Express to Webcast an Investor Update Call on March 17,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-to-Webcast-an-Investor-Update-Call-on-March-17/default.aspx
2020-03-09,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Declares-Regular-Quarterly-Dividend1/default.aspx
2020-02-19,American Express Chief Financial Officer to Participate in KBW Fintech Payments Conference,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Chief-Financial-Officer-to-Participate-in-KBW-Fintech-Payments-Conference/default.aspx
2020-02-07,"Jessica Lieberman Quinn Appointed Executive Vice President, Corporate Controller and Principal Accounting Officer of American Express",/news/investor-relations-news/investor-relations-news-details/2020/Jessica-Lieberman-Quinn-Appointed-Executive-Vice-President-Corporate-Controller-and-Principal-Accounting-Officer-of-American-Express/default.aspx
2020-01-29,American Express Elects Karen Parkhill to Its Board of Directors,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Elects-Karen-Parkhill-to-Its-Board-of-Directors/default.aspx
2020-01-29,American Express Declares Dividend on Series B and Series C Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Declares-Dividend-on-Series-B-and-Series-C-Preferred-Stock1/default.aspx
2020-01-24,American Express Reports Fourth-Quarter Earnings Per Share of $2.03 and Full-Year EPS of $7.99; Adjusted Full-Year EPS of $8.201,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Reports-Fourth-Quarter-Earnings-Per-Share-of-2.03-and-Full-Year-EPS-of-7.99-Adjusted-Full-Year-EPS-of-8.201/default.aspx
2020-01-21,American Express Plans Live Audio Webcast of Annual Investor Day,/news/investor-relations-news/investor-relations-news-details/2020/American-Express-Plans-Live-Audio-Webcast-of-Annual-Investor-Day/default.aspx
2019-12-16,American Express Plans Live Audio Webcast of the Fourth Quarter 2019 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Plans-Live-Audio-Webcast-of-the-Fourth-Quarter-2019-Earnings-Conference-Call/default.aspx
2019-12-12,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Declares-Regular-Quarterly-Dividend/default.aspx
2019-11-18,American Express Chief Executive Officer to Participate in the Goldman Sachs U.S. Financial Services Conference,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Chief-Executive-Officer-to-Participate-in-the-Goldman-Sachs-U.S.-Financial-Services-Conference/default.aspx
2019-10-24,American Express Executive to Participate in the Bank of America Future of Financials Conference,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Executive-to-Participate-in-the-Bank-of-America-Future-of-Financials-Conference/default.aspx
2019-10-18,American Express Reports Third-Quarter Earnings Per Share of $2.08,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Reports-Third-Quarter-Earnings-Per-Share-of-2.08/default.aspx
2019-09-23,"American Express Board Authorizes Repurchase of up to 120 Million Shares, Announces 10 Percent Dividend Increase",/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Board-Authorizes-Repurchase-of-up-to-120-Million-Shares-Announces-10-Percent-Dividend-Increase/default.aspx
2019-09-18,American Express Plans Live Audio Webcast of the Third Quarter 2019 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Plans-Live-Audio-Webcast-of-the-Third-Quarter-2019-Earnings-Conference-Call/default.aspx
2019-08-22,American Express Executives to Participate in Upcoming Conferences,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Executives-to-Participate-in-Upcoming-Conferences/default.aspx
