date,type,description,detailUrl,pdfUrl,xlsUrl
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112855,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/78c3960c-c055-4c91-b82d-f791bdd3655f.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/42d839bd-fdea-4906-a838-dd7abaa0b343.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112673,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/4d5ef0b0-ac28-4bbb-b047-0ee26cda7bac.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/3794bc72-06ed-4c82-80c5-5ea26bf17b09.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112725,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/f87ac3f3-22b4-46bc-b0a7-2df7b555761e.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1af27666-c376-49bc-b7f8-7a44b4393fb2.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112763,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/e9bcf56a-7253-41dc-b1a0-5972579764cf.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/609af613-d912-44ed-85e2-96101479be8e.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112541,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/8bd55e08-f73c-4b7c-959f-82f8af6d1916.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/b373b0a5-0afb-4a76-890b-23338efb7cb0.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112588,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/ced08a50-9c80-4474-a6c9-1817e5f02a63.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/5cfd3eb9-f29d-49d6-b24a-c55e2bfbaf6f.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112628,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/cf3f25db-0a79-4576-8355-4ee4b3c70d10.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/cee44d7c-4072-434b-a020-0016d51b555d.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112422,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/559cc5ab-95e7-447d-b0d1-e8c807e8077f.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1b3e0db9-a3c6-43d8-a264-25623f829c81.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112459,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/945e93fa-e0dd-4525-a3c0-494d87c951e3.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/4b084725-575d-4470-9786-9339ecb378c4.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112483,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/e97ed785-e96c-485e-b67e-d6c6cc720cc9.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/d5f2a9bb-7263-4cee-b59f-06e04fcd0d0a.xls
"Jan 05, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19039055,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/b0344d80-41a4-43e8-8122-b01336eb598e.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/cbec5018-80ed-412b-8405-7c8443a69d60.xls
"Jan 05, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19039126,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/ab1cf087-1a19-4e8f-be9b-693f55dd6a8b.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/6084c3a4-0782-4b17-9d9d-92a974e72b65.xls
"Jan 05, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19038974,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/16dd694d-0aac-4791-b44e-e9e9819a3d97.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/47a407ff-d02e-4bac-9cc2-1926e3fbcc3d.xls
"Jan 05, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19038768,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1297de6c-f81a-4657-8d59-c77bc0929acd.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/be34df53-3eeb-4e58-bdd8-7b1573e65409.xls
"Jan 05, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19038867,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/3d764fde-5e51-4b8e-8ee8-9b15f3c22727.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/c4d39fa4-116b-4e07-a4c0-e4dabb3f66a8.xls
"Jan 05, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19038661,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/d5c08230-0283-492c-99ff-a321daed92f9.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/afce9a39-57cd-40ce-95ca-39e6582d9c20.xls
