date,type,description,company,document
2022-07-22,10-Q,Quarterly Report - Q2 2022,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000041/
2022-07-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000036/
2022-06-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000034/
2022-05-26,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000033/
2022-05-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000032/
2022-05-04,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000030/
2022-05-03,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000029/
2022-04-22,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000025/
2022-04-22,10-Q,Quarterly Report - Q1 2022,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000028/
2022-04-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000021/
2022-03-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000018/
2022-03-10,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000016/
2022-03-04,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000012/
2022-02-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000010/
2022-02-11,10-K,Annual Report for FY 2021,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/
2022-01-25,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000004/
2022-01-18,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000002/
2021-12-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000078/
2021-12-01,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000074/
2021-11-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000066/
2021-11-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000065/
2021-11-04,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465921134416/
2021-11-02,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000064/
2021-11-01,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000062/
2021-10-22,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000058/
2021-10-22,10-Q,Quarterly Report - Q3 2021,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000060/
2021-10-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000052/
2021-09-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000051/
2021-08-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000043/
2021-08-03,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465921099328/
2021-07-27,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465921096122/
2021-07-23,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000040/
2021-07-23,10-Q,Quarterly Report - Q2 2021,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000042/
2021-07-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000038/
2021-06-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000034/
2021-05-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000033/
2021-05-06,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000032/
2021-04-28,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000029/
2021-04-23,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000026/
2021-04-23,10-Q,Quarterly Report - Q1 2021,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000028/
2021-04-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000023/
2021-03-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000021/
2021-03-09,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000018/
2021-02-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000016/
2021-02-12,10-K,Annual Report for FY 2020,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000013/
2021-01-27,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000008/
2021-01-26,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000006/
2021-01-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496221000004/
2020-12-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000105/
2020-11-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000103/
2020-10-26,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000101/
2020-10-23,10-Q,Quarterly Report - Q3 2020,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000098/
2020-10-23,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000094/
2020-10-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000088/
2020-09-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000086/
2020-08-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000083/
2020-07-24,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000076/
2020-07-24,10-Q,Quarterly Report - Q2 2020,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000079/
2020-07-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000073/
2020-06-30,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000071/
2020-06-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000062/
2020-05-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000059/
2020-05-07,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000057/
2020-04-24,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000051/
2020-04-24,10-Q,Quarterly Report - Q1 2020,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000054/
2020-04-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000046/
2020-03-20,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000044/
2020-03-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000039/
2020-03-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000037/
2020-02-18,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000034/
2020-02-13,10-K,Annual Report for FY 2019,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/
2020-02-07,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000023/
2020-01-29,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000015/
2020-01-24,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000013/
2020-01-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496220000005/
2019-12-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000098/
2019-12-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000094/
2019-11-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000091/
2019-10-21,10-Q,Quarterly Report - Q3 2019,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000086/
2019-10-18,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000081/
2019-10-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000074/
2019-09-23,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000071/
2019-09-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000068/
2019-08-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000062/
2019-07-30,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000141057819000583/
2019-07-23,10-Q,Quarterly Report - Q2 2019,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000051/
2019-07-19,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000045/
2019-07-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000043/
2019-06-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000035/
2019-05-20,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465919030525/
2019-05-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000033/
2019-05-08,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496919000038/
2019-05-06,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496919000036/
2019-04-23,10-Q,Quarterly Report - Q1 2019,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000031/
2019-04-18,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496919000018/
2019-04-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496919000014/
2019-03-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496919000011/
2019-02-22,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465919010065/
2019-02-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000026/
2019-02-13,10-K,Annual Report for FY 2018,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/
2019-01-25,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000008/
2019-01-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000004/
2019-01-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496219000002/
2018-12-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000132/
2018-11-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000129/
2018-11-06,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465918066219/
2018-10-23,10-Q,Quarterly Report - Q3 2018,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000121/
2018-10-18,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000116/
2018-10-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000114/
2018-09-25,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000111/
2018-09-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000108/
